Query,RunNumber,ExecutionTime_ms,Configuration,IndexStrategy,DataSetSize
query_6,11,3791.097,High Memory,single_column_indexes,Medium
query_6,12,3777.382,High Memory,single_column_indexes,Medium
query_6,13,3775.013,High Memory,single_column_indexes,Medium
query_6,14,3795.229,High Memory,single_column_indexes,Medium
query_6,15,3769.987,High Memory,single_column_indexes,Medium
query_6,16,3778.217,High Memory,single_column_indexes,Medium
query_6,17,3774.684,High Memory,single_column_indexes,Medium
query_6,18,3790.425,High Memory,single_column_indexes,Medium
query_6,19,3787.855,High Memory,single_column_indexes,Medium
query_6,20,3768.223,High Memory,single_column_indexes,Medium
query_6,21,3762.941,High Memory,single_column_indexes,Medium
query_6,22,3778.217,High Memory,single_column_indexes,Medium
query_6,23,3777.969,High Memory,single_column_indexes,Medium
query_6,24,3776.598,High Memory,single_column_indexes,Medium
query_6,25,3789.11,High Memory,single_column_indexes,Medium
query_6,26,3797.154,High Memory,single_column_indexes,Medium
query_6,27,3775.454,High Memory,single_column_indexes,Medium
query_6,28,3761.813,High Memory,single_column_indexes,Medium
query_6,29,3771.871,High Memory,single_column_indexes,Medium
query_6,30,3794.894,High Memory,single_column_indexes,Medium
query_7,1,5161.888,High Memory,single_column_indexes,Medium
query_7,2,5241.884,High Memory,single_column_indexes,Medium
query_7,3,5139.091,High Memory,single_column_indexes,Medium
query_7,4,5159.417,High Memory,single_column_indexes,Medium
query_7,5,5157.093,High Memory,single_column_indexes,Medium
query_7,6,5252.243,High Memory,single_column_indexes,Medium
query_7,7,4962.558,High Memory,single_column_indexes,Medium
query_7,8,5195.879,High Memory,single_column_indexes,Medium
query_7,9,5160.888,High Memory,single_column_indexes,Medium
query_7,10,5136.519,High Memory,single_column_indexes,Medium
query_7,11,5157.093,High Memory,single_column_indexes,Medium
query_7,12,5193.051,High Memory,single_column_indexes,Medium
query_7,13,5114.199,High Memory,single_column_indexes,Medium
query_7,14,4966.223,High Memory,single_column_indexes,Medium
query_7,15,5155.252,High Memory,single_column_indexes,Medium
query_7,16,5166.565,High Memory,single_column_indexes,Medium
query_7,17,5032.446,High Memory,single_column_indexes,Medium
query_7,18,5123.103,High Memory,single_column_indexes,Medium
query_7,19,5170.912,High Memory,single_column_indexes,Medium
query_7,20,5214.56,High Memory,single_column_indexes,Medium
query_7,21,5158.934,High Memory,single_column_indexes,Medium
query_7,22,5210.409,High Memory,single_column_indexes,Medium
query_7,23,5149.911,High Memory,single_column_indexes,Medium
query_7,24,5190.168,High Memory,single_column_indexes,Medium
query_7,25,5108.372,High Memory,single_column_indexes,Medium
query_7,26,5189.958,High Memory,single_column_indexes,Medium
query_7,27,5086.038,High Memory,single_column_indexes,Medium
query_7,28,5122.004,High Memory,single_column_indexes,Medium
query_7,29,5178.523,High Memory,single_column_indexes,Medium
query_7,30,5145.763,High Memory,single_column_indexes,Medium
query_1,1,132.355,High Memory,composite_indexes,Medium
query_1,2,133.89,High Memory,composite_indexes,Medium
query_1,3,131.574,High Memory,composite_indexes,Medium
query_1,4,127.429,High Memory,composite_indexes,Medium
query_1,5,129.903,High Memory,composite_indexes,Medium
query_1,6,131.476,High Memory,composite_indexes,Medium
query_1,7,132.022,High Memory,composite_indexes,Medium
query_1,8,133.303,High Memory,composite_indexes,Medium
query_1,9,131.349,High Memory,composite_indexes,Medium
query_1,10,132.176,High Memory,composite_indexes,Medium
query_1,11,134.525,High Memory,composite_indexes,Medium
query_1,12,133.423,High Memory,composite_indexes,Medium
query_1,13,132.604,High Memory,composite_indexes,Medium
query_1,14,131.869,High Memory,composite_indexes,Medium
query_1,15,131.377,High Memory,composite_indexes,Medium
query_1,16,129.67,High Memory,composite_indexes,Medium
query_1,17,130.612,High Memory,composite_indexes,Medium
query_1,18,130.679,High Memory,composite_indexes,Medium
query_1,19,129.398,High Memory,composite_indexes,Medium
query_1,20,128.759,High Memory,composite_indexes,Medium
query_1,21,131.476,High Memory,composite_indexes,Medium
query_1,22,133.273,High Memory,composite_indexes,Medium
query_1,23,130.228,High Memory,composite_indexes,Medium
query_1,24,131.576,High Memory,composite_indexes,Medium
query_1,25,130.923,High Memory,composite_indexes,Medium
query_1,26,129.942,High Memory,composite_indexes,Medium
query_1,27,131.219,High Memory,composite_indexes,Medium
query_1,28,133.397,High Memory,composite_indexes,Medium
query_1,29,131.946,High Memory,composite_indexes,Medium
query_1,30,130.813,High Memory,composite_indexes,Medium
query_2,1,6.569,High Memory,composite_indexes,Medium
query_2,2,6.386,High Memory,composite_indexes,Medium
query_2,3,6.407,High Memory,composite_indexes,Medium
query_2,4,6.714,High Memory,composite_indexes,Medium
query_2,5,6.386,High Memory,composite_indexes,Medium
query_2,6,6.587,High Memory,composite_indexes,Medium
query_2,7,6.85,High Memory,composite_indexes,Medium
query_2,8,6.474,High Memory,composite_indexes,Medium
query_2,9,6.511,High Memory,composite_indexes,Medium
query_2,10,6.676,High Memory,composite_indexes,Medium
query_2,11,6.409,High Memory,composite_indexes,Medium
query_2,12,6.561,High Memory,composite_indexes,Medium
query_2,13,7.007,High Memory,composite_indexes,Medium
query_2,14,6.569,High Memory,composite_indexes,Medium
query_2,15,6.486,High Memory,composite_indexes,Medium
query_2,16,6.661,High Memory,composite_indexes,Medium
query_2,17,6.526,High Memory,composite_indexes,Medium
query_2,18,6.567,High Memory,composite_indexes,Medium
query_2,19,6.331,High Memory,composite_indexes,Medium
query_2,20,6.806,High Memory,composite_indexes,Medium
query_2,21,6.571,High Memory,composite_indexes,Medium
query_2,22,6.72,High Memory,composite_indexes,Medium
query_2,23,6.463,High Memory,composite_indexes,Medium
query_2,24,6.448,High Memory,composite_indexes,Medium
query_2,25,6.389,High Memory,composite_indexes,Medium
query_2,26,6.752,High Memory,composite_indexes,Medium
query_2,27,7.168,High Memory,composite_indexes,Medium
query_2,28,6.632,High Memory,composite_indexes,Medium
query_2,29,6.592,High Memory,composite_indexes,Medium
query_2,30,6.558,High Memory,composite_indexes,Medium
query_3,1,19.434,High Memory,composite_indexes,Medium
query_3,2,19.611,High Memory,composite_indexes,Medium
query_3,3,20.274,High Memory,composite_indexes,Medium
query_3,4,19.801,High Memory,composite_indexes,Medium
query_3,5,19.575,High Memory,composite_indexes,Medium
query_3,6,20.274,High Memory,composite_indexes,Medium
query_3,7,20.076,High Memory,composite_indexes,Medium
query_3,8,19.541,High Memory,composite_indexes,Medium
query_3,9,19.58,High Memory,composite_indexes,Medium
query_3,10,20.103,High Memory,composite_indexes,Medium
query_3,11,19.463,High Memory,composite_indexes,Medium
query_3,12,19.474,High Memory,composite_indexes,Medium
query_3,13,19.801,High Memory,composite_indexes,Medium
query_3,14,20.217,High Memory,composite_indexes,Medium
query_3,15,20.55,High Memory,composite_indexes,Medium
query_3,16,19.416,High Memory,composite_indexes,Medium
query_3,17,19.332,High Memory,composite_indexes,Medium
query_3,18,19.672,High Memory,composite_indexes,Medium
query_3,19,19.401,High Memory,composite_indexes,Medium
